날짜,BPS,PER,PBR,EPS,DIV,DPS
2012-01-02,5374,12.67,3.22,1365,0.87,150
2012-01-03,5374,12.93,3.28,1365,0.85,150
2012-01-04,5374,12.53,3.18,1365,0.88,150
2012-01-05,5374,12.38,3.14,1365,0.89,150
2012-01-06,5374,12.16,3.09,1365,0.9,150
2012-01-09,5374,12.16,3.09,1365,0.9,150
2012-01-10,5374,12.34,3.14,1365,0.89,150
2012-01-11,5374,12.27,3.12,1365,0.9,150
2012-01-12,5374,12.75,3.24,1365,0.86,150
2012-01-13,5374,12.42,3.15,1365,0.88,150
2012-01-16,5374,12.34,3.14,1365,0.89,150
2012-01-17,5374,12.12,3.08,1365,0.91,150
2012-01-18,5374,11.72,2.98,1365,0.94,150
2012-01-19,5374,11.72,2.98,1365,0.94,150
2012-01-20,5374,11.79,3.0,1365,0.93,150
2012-01-25,5374,12.67,3.22,1365,0.87,150
2012-01-26,5374,12.82,3.26,1365,0.86,150
2012-01-27,5374,12.82,3.26,1365,0.86,150
2012-01-30,5374,12.82,3.26,1365,0.86,150
2012-01-31,5374,13.41,3.41,1365,0.82,150
2012-02-01,5374,13.11,3.33,1365,0.84,150
2012-02-02,5374,12.89,3.28,1365,0.85,150
2012-02-03,5374,12.49,3.17,1365,0.88,150
2012-02-06,5374,12.2,3.1,1365,0.9,150
2012-02-07,5374,11.98,3.04,1365,0.92,150
2012-02-08,5374,12.12,3.08,1365,0.91,150
2012-02-09,5374,11.94,3.03,1365,0.92,150
2012-02-10,5374,12.45,3.16,1365,0.88,150
2012-02-13,5374,12.38,3.14,1365,0.89,150
2012-02-14,5374,12.2,3.1,1365,0.9,150
2012-02-15,5374,12.42,3.15,1365,0.88,150
2012-02-16,5374,12.23,3.11,1365,0.9,150
2012-02-17,5374,12.23,3.11,1365,0.9,150
2012-02-20,5374,12.12,3.08,1365,0.91,150
2012-02-21,5374,11.94,3.03,1365,0.92,150
2012-02-22,5374,12.01,3.05,1365,0.91,150
2012-02-23,5374,11.65,2.96,1365,0.94,150
2012-02-24,5374,11.76,2.99,1365,0.93,150
2012-02-27,5374,11.47,2.91,1365,0.96,150
2012-02-28,5374,11.25,2.86,1365,0.98,150
2012-02-29,5374,11.72,2.98,1365,0.94,150
2012-03-02,5374,11.87,3.01,1365,0.93,150
2012-03-05,5374,11.65,2.96,1365,0.94,150
2012-03-06,5374,11.17,2.84,1365,0.98,150
2012-03-07,5374,11.72,2.98,1365,0.94,150
2012-03-08,5374,12.45,3.16,1365,0.88,150
2012-03-09,5374,12.6,3.2,1365,0.87,150
2012-03-12,5374,12.45,3.16,1365,0.88,150
2012-03-13,5374,12.78,3.25,1365,0.86,150
2012-03-14,5374,12.53,3.18,1365,0.88,150
2012-03-15,5374,12.64,3.21,1365,0.87,150
2012-03-16,5374,12.49,3.17,1365,0.88,150
2012-03-19,5374,12.2,3.1,1365,0.9,150
2012-03-20,5374,12.42,3.15,1365,0.88,150
