날짜,BPS,PER,PBR,EPS,DIV,DPS
2012-01-02,24887,6.18,1.85,7447,0.76,350
2012-01-03,24887,6.38,1.91,7447,0.74,350
2012-01-04,24887,6.63,1.98,7447,0.71,350
2012-01-05,24887,6.71,2.01,7447,0.7,350
2012-01-06,24887,6.71,2.01,7447,0.7,350
2012-01-09,24887,6.85,2.05,7447,0.69,350
2012-01-10,24887,6.83,2.05,7447,0.69,350
2012-01-11,24887,6.97,2.09,7447,0.67,350
2012-01-12,24887,7.02,2.1,7447,0.67,350
2012-01-13,24887,7.02,2.1,7447,0.67,350
2012-01-16,24887,7.01,2.1,7447,0.67,350
2012-01-17,24887,7.24,2.17,7447,0.65,350
2012-01-18,24887,7.35,2.2,7447,0.64,350
2012-01-19,24887,7.26,2.17,7447,0.65,350
2012-01-20,24887,7.29,2.18,7447,0.64,350
2012-01-25,24887,7.17,2.15,7447,0.66,350
2012-01-26,24887,7.4,2.21,7447,0.64,350
2012-01-27,24887,7.33,2.19,7447,0.64,350
2012-01-30,24887,7.28,2.18,7447,0.65,350
2012-01-31,24887,7.43,2.22,7447,0.63,350
2012-02-01,24887,7.71,2.31,7447,0.61,350
2012-02-02,24887,7.88,2.36,7447,0.6,350
2012-02-03,24887,7.72,2.31,7447,0.61,350
2012-02-06,24887,7.76,2.32,7447,0.61,350
2012-02-07,24887,7.52,2.25,7447,0.63,350
2012-02-08,24887,7.72,2.31,7447,0.61,350
2012-02-09,24887,7.77,2.33,7447,0.6,350
2012-02-10,24887,7.86,2.35,7447,0.6,350
2012-02-13,24887,7.79,2.33,7447,0.6,350
2012-02-14,24887,7.8,2.33,7447,0.6,350
2012-02-15,24887,7.72,2.31,7447,0.61,350
2012-02-16,24887,7.52,2.25,7447,0.63,350
2012-02-17,24887,7.64,2.29,7447,0.62,350
2012-02-20,24887,7.6,2.27,7447,0.62,350
2012-02-21,24887,8.0,2.39,7447,0.59,350
2012-02-22,24887,7.99,2.39,7447,0.59,350
2012-02-23,24887,8.03,2.4,7447,0.59,350
2012-02-24,24887,8.08,2.42,7447,0.58,350
2012-02-27,24887,7.96,2.38,7447,0.59,350
2012-02-28,24887,7.87,2.35,7447,0.6,350
2012-02-29,24887,7.92,2.37,7447,0.59,350
2012-03-02,24887,7.76,2.32,7447,0.61,350
2012-03-05,24887,7.57,2.27,7447,0.62,350
2012-03-06,24887,7.56,2.26,7447,0.62,350
2012-03-07,24887,7.36,2.2,7447,0.64,350
2012-03-08,24887,7.43,2.22,7447,0.63,350
2012-03-09,24887,7.39,2.21,7447,0.64,350
2012-03-12,24887,7.32,2.19,7447,0.64,350
2012-03-13,24887,7.48,2.24,7447,0.63,350
2012-03-14,24887,7.48,2.24,7447,0.63,350
2012-03-15,24887,7.56,2.26,7447,0.62,350
2012-03-16,24887,7.47,2.23,7447,0.63,350
2012-03-19,24887,7.28,2.18,7447,0.65,350
2012-03-20,24887,7.18,2.15,7447,0.65,350
2012-03-21,24887,7.2,2.15,7447,0.65,350
2012-03-22,24887,7.12,2.13,7447,0.66,350
2012-03-23,24887,7.18,2.15,7447,0.65,350
