날짜,BPS,PER,PBR,EPS,DIV,DPS
2012-01-02,50882,4.06,1.22,15355,0.8,500
2012-01-03,50882,4.1,1.24,15355,0.79,500
2012-01-04,50882,4.02,1.21,15355,0.81,500
2012-01-05,50882,4.04,1.22,15355,0.81,500
2012-01-06,50882,4.06,1.22,15355,0.8,500
2012-01-09,50882,4.14,1.25,15355,0.79,500
2012-01-10,50882,4.39,1.32,15355,0.74,500
2012-01-11,50882,4.38,1.32,15355,0.74,500
2012-01-12,50882,4.36,1.31,15355,0.75,500
2012-01-13,50882,4.36,1.31,15355,0.75,500
2012-01-16,50882,4.36,1.32,15355,0.75,500
2012-01-17,50882,4.41,1.33,15355,0.74,500
2012-01-18,50882,4.21,1.27,15355,0.77,500
2012-01-19,50882,4.16,1.26,15355,0.78,500
2012-01-20,50882,4.17,1.26,15355,0.78,500
2012-01-25,50882,4.18,1.26,15355,0.78,500
2012-01-26,50882,4.27,1.29,15355,0.76,500
2012-01-27,50882,4.21,1.27,15355,0.77,500
2012-01-30,50882,4.1,1.24,15355,0.79,500
2012-01-31,50882,4.21,1.27,15355,0.77,500
2012-02-01,50882,4.43,1.34,15355,0.74,500
2012-02-02,50882,4.4,1.33,15355,0.74,500
2012-02-03,50882,4.59,1.39,15355,0.71,500
2012-02-06,50882,4.75,1.43,15355,0.68,500
2012-02-07,50882,4.68,1.41,15355,0.7,500
2012-02-08,50882,4.7,1.42,15355,0.69,500
2012-02-09,50882,4.73,1.43,15355,0.69,500
2012-02-10,50882,4.55,1.37,15355,0.72,500
2012-02-13,50882,4.49,1.35,15355,0.73,500
2012-02-14,50882,4.55,1.37,15355,0.72,500
2012-02-15,50882,4.55,1.37,15355,0.72,500
2012-02-16,50882,4.47,1.35,15355,0.73,500
2012-02-17,50882,4.48,1.35,15355,0.73,500
2012-02-20,50882,4.56,1.38,15355,0.71,500
2012-02-21,50882,4.58,1.38,15355,0.71,500
2012-02-22,50882,4.45,1.34,15355,0.73,500
2012-02-23,50882,4.45,1.34,15355,0.73,500
2012-02-24,50882,4.48,1.35,15355,0.73,500
2012-02-27,50882,4.51,1.36,15355,0.72,500
2012-02-28,50882,4.5,1.36,15355,0.72,500
2012-02-29,50882,4.54,1.37,15355,0.72,500
2012-03-02,50882,4.59,1.39,15355,0.71,500
2012-03-05,50882,4.45,1.34,15355,0.73,500
2012-03-06,50882,4.38,1.32,15355,0.74,500
2012-03-07,50882,4.36,1.31,15355,0.75,500
2012-03-08,50882,4.34,1.31,15355,0.75,500
2012-03-09,50882,4.29,1.3,15355,0.76,500
2012-03-12,50882,4.36,1.31,15355,0.75,500
2012-03-13,50882,4.33,1.31,15355,0.75,500
2012-03-14,50882,4.35,1.31,15355,0.75,500
2012-03-15,50882,4.27,1.29,15355,0.76,500
2012-03-16,50882,4.3,1.3,15355,0.76,500
2012-03-19,50882,4.26,1.29,15355,0.76,500
2012-03-20,50882,4.22,1.27,15355,0.77,500
2012-03-21,50882,4.13,1.25,15355,0.79,500
2012-03-22,50882,4.05,1.22,15355,0.8,500
2012-03-23,50882,4.04,1.22,15355,0.81,500
2012-03-26,50882,4.01,1.21,15355,0.81,500
2012-03-27,50882,4.17,1.26,15355,0.78,500
2012-03-28,50882,4.18,1.26,15355,0.78,500
2012-03-29,50882,4.17,1.26,15355,0.78,500
2012-03-30,50882,4.17,1.26,15355,0.78,500
2012-04-02,50882,4.12,1.24,15355,0.79,500
2012-04-03,50882,4.17,1.26,15355,0.78,500
2012-04-04,50882,4.08,1.23,15355,0.8,500
2012-04-05,50882,4.14,1.25,15355,0.79,500
2012-04-06,50882,4.15,1.25,15355,0.78,500
2012-04-09,50882,4.09,1.23,15355,0.8,500
2012-04-10,50882,4.0,1.21,15355,0.81,500
2012-04-12,50882,4.02,1.21,15355,0.81,500
2012-04-13,50882,4.1,1.24,15355,0.79,500
2012-04-16,50882,4.01,1.21,15355,0.81,500
2012-04-17,50882,4.01,1.21,15355,0.81,500
2012-04-18,50882,3.97,1.2,15355,0.82,500
2012-04-19,50882,3.97,1.2,15355,0.82,500
2012-04-20,50882,3.95,1.19,15355,0.82,500
2012-04-23,50882,3.93,1.19,15355,0.83,500
2012-04-24,51979,6.93,1.15,8658,0.67,400
2012-04-25,51979,6.65,1.11,8658,0.69,400
2012-04-26,51979,6.4,1.07,8658,0.72,400
2012-04-27,51979,6.39,1.06,8658,0.72,400
2012-04-30,51979,6.5,1.08,8658,0.71,400
2012-05-02,51979,6.53,1.09,8658,0.71,400
2012-05-03,51979,6.62,1.1,8658,0.7,400
2012-05-04,51979,6.85,1.14,8658,0.67,400
2012-05-07,51979,6.72,1.12,8658,0.69,400
2012-05-08,51979,6.76,1.13,8658,0.68,400
2012-05-09,51979,6.81,1.14,8658,0.68,400
2012-05-10,51979,6.77,1.13,8658,0.68,400
2012-05-11,51979,6.73,1.12,8658,0.69,400
2012-05-14,51979,6.6,1.1,8658,0.7,400
2012-05-15,51979,6.53,1.09,8658,0.71,400
2012-05-16,51979,6.56,1.09,8658,0.7,400
2012-05-17,51979,6.42,1.07,8658,0.72,400
2012-05-18,51979,6.2,1.03,8658,0.74,400
2012-05-21,51979,6.04,1.01,8658,0.76,400
2012-05-22,51979,6.05,1.01,8658,0.76,400
2012-05-23,51979,5.93,0.99,8658,0.78,400
2012-05-24,51979,5.81,0.97,8658,0.8,400
2012-05-25,51979,6.09,1.01,8658,0.76,400
2012-05-29,51979,6.27,1.04,8658,0.74,400
2012-05-30,51979,6.06,1.01,8658,0.76,400
2012-05-31,51979,5.99,1.0,8658,0.77,400
2012-06-01,51979,5.97,0.99,8658,0.77,400
2012-06-04,51979,5.87,0.98,8658,0.79,400
2012-06-05,51979,5.91,0.99,8658,0.78,400
2012-06-07,51979,6.01,1.0,8658,0.77,400
2012-06-08,51979,5.95,0.99,8658,0.78,400
2012-06-11,51979,6.09,1.01,8658,0.76,400
2012-06-12,51979,6.08,1.01,8658,0.76,400
2012-06-13,51979,6.01,1.0,8658,0.77,400
2012-06-14,51979,6.09,1.01,8658,0.76,400
2012-06-15,51979,6.03,1.0,8658,0.77,400
2012-06-18,51979,6.24,1.04,8658,0.74,400
2012-06-19,51979,6.42,1.07,8658,0.72,400
2012-06-20,51979,6.48,1.08,8658,0.71,400
2012-06-21,51979,6.53,1.09,8658,0.71,400
2012-06-22,51979,6.43,1.07,8658,0.72,400
2012-06-25,51979,6.57,1.09,8658,0.7,400
2012-06-26,51979,6.41,1.07,8658,0.72,400
2012-06-27,51979,6.53,1.09,8658,0.71,400
2012-06-28,51979,6.57,1.09,8658,0.7,400
2012-06-29,51979,6.66,1.11,8658,0.69,400
2012-07-02,51979,6.66,1.11,8658,0.69,400
2012-07-03,51979,6.68,1.11,8658,0.69,400
2012-07-04,51979,6.66,1.11,8658,0.69,400
2012-07-05,51979,6.56,1.09,8658,0.7,400
2012-07-06,51979,6.51,1.09,8658,0.71,400
2012-07-09,51979,6.55,1.09,8658,0.71,400
2012-07-10,51979,6.55,1.09,8658,0.71,400
2012-07-11,51979,6.56,1.09,8658,0.7,400
2012-07-12,51979,6.32,1.05,8658,0.73,400
2012-07-13,51979,6.31,1.05,8658,0.73,400
2012-07-16,51979,6.56,1.09,8658,0.7,400
2012-07-17,51979,6.75,1.12,8658,0.68,400
2012-07-18,51979,6.65,1.11,8658,0.69,400
2012-07-19,51979,6.84,1.14,8658,0.68,400
2012-07-20,51979,6.84,1.14,8658,0.68,400
2012-07-23,51979,6.83,1.14,8658,0.68,400
2012-07-24,51979,6.58,1.1,8658,0.7,400
2012-07-25,51979,6.46,1.08,8658,0.72,400
2012-07-26,51979,6.66,1.11,8658,0.69,400
2012-07-27,51979,6.79,1.13,8658,0.68,400
2012-07-30,51979,6.73,1.12,8658,0.69,400
2012-07-31,51979,6.77,1.13,8658,0.68,400
2012-08-01,51979,6.99,1.16,8658,0.66,400
2012-08-02,51979,6.96,1.16,8658,0.66,400
2012-08-03,51979,7.0,1.17,8658,0.66,400
2012-08-06,51979,7.02,1.17,8658,0.66,400
2012-08-07,51979,6.98,1.16,8658,0.66,400
2012-08-08,51979,7.01,1.17,8658,0.66,400
2012-08-09,51979,7.02,1.17,8658,0.66,400
2012-08-10,51979,6.96,1.16,8658,0.66,400
2012-08-13,51979,7.01,1.17,8658,0.66,400
2012-08-14,51979,7.09,1.18,8658,0.65,400
2012-08-16,51979,7.25,1.21,8658,0.64,400
2012-08-17,51979,7.23,1.2,8658,0.64,400
2012-08-20,51979,7.28,1.21,8658,0.63,400
2012-08-21,51979,7.07,1.18,8658,0.65,400
2012-08-22,51979,7.16,1.19,8658,0.65,400
2012-08-23,51979,7.16,1.19,8658,0.65,400
2012-08-24,51979,7.15,1.19,8658,0.65,400
2012-08-27,51979,7.16,1.19,8658,0.65,400
2012-08-28,51979,7.28,1.21,8658,0.63,400
2012-08-29,51979,7.17,1.19,8658,0.64,400
2012-08-30,51979,6.99,1.16,8658,0.66,400
2012-08-31,51979,7.03,1.17,8658,0.66,400
2012-09-03,51979,7.01,1.17,8658,0.66,400
2012-09-04,51979,6.9,1.15,8658,0.67,400
2012-09-05,51979,6.8,1.13,8658,0.68,400
2012-09-06,51979,6.96,1.16,8658,0.66,400
2012-09-07,51979,7.15,1.19,8658,0.65,400
2012-09-10,51979,7.2,1.2,8658,0.64,400
2012-09-11,51979,7.05,1.17,8658,0.66,400
2012-09-12,51979,7.06,1.18,8658,0.65,400
2012-09-13,51979,7.11,1.19,8658,0.65,400
2012-09-14,51979,7.14,1.19,8658,0.65,400
2012-09-17,51979,7.2,1.2,8658,0.64,400
2012-09-18,51979,7.25,1.21,8658,0.64,400
2012-09-19,51979,7.39,1.23,8658,0.63,400
2012-09-20,51979,7.39,1.23,8658,0.63,400
2012-09-21,51979,7.62,1.27,8658,0.61,400
2012-09-24,51979,7.55,1.26,8658,0.61,400
2012-09-25,51979,7.55,1.26,8658,0.61,400
2012-09-26,51979,7.61,1.27,8658,0.61,400
2012-09-27,51979,7.46,1.24,8658,0.62,400
2012-09-28,51979,7.54,1.26,8658,0.61,400
2012-10-02,51979,7.72,1.29,8658,0.6,400
2012-10-04,51979,7.45,1.24,8658,0.62,400
2012-10-05,51979,7.39,1.23,8658,0.63,400
2012-10-08,51979,7.7,1.28,8658,0.6,400
2012-10-09,51979,7.92,1.32,8658,0.58,400
2012-10-10,51979,7.74,1.29,8658,0.6,400
2012-10-11,51979,7.62,1.27,8658,0.61,400
2012-10-12,51979,8.0,1.33,8658,0.58,400
2012-10-15,51979,8.06,1.34,8658,0.57,400
2012-10-16,51979,8.06,1.34,8658,0.57,400
2012-10-17,51979,8.03,1.34,8658,0.58,400
2012-10-18,51979,8.03,1.34,8658,0.58,400
2012-10-19,51979,7.91,1.32,8658,0.58,400
2012-10-22,51979,7.88,1.31,8658,0.59,400
2012-10-23,51979,8.06,1.34,8658,0.57,400
2012-10-24,51979,7.9,1.32,8658,0.58,400
2012-10-25,51979,7.88,1.31,8658,0.59,400
2012-10-26,51979,7.78,1.3,8658,0.59,400
2012-10-29,51979,7.63,1.27,8658,0.61,400
2012-10-30,51979,7.63,1.27,8658,0.61,400
2012-10-31,51979,7.76,1.29,8658,0.6,400
2012-11-01,51979,7.84,1.31,8658,0.59,400
2012-11-02,51979,7.87,1.31,8658,0.59,400
2012-11-05,51979,7.75,1.29,8658,0.6,400
2012-11-06,51979,7.93,1.32,8658,0.58,400
2012-11-07,51979,7.84,1.31,8658,0.59,400
2012-11-08,51979,7.61,1.27,8658,0.61,400
2012-11-09,51979,7.74,1.29,8658,0.6,400
