날짜,BPS,PER,PBR,EPS,DIV,DPS
2012-01-02,486616,6.89,0.77,54558,2.66,10000
2012-01-03,486616,7.1,0.8,54558,2.58,10000
2012-01-04,486616,7.1,0.8,54558,2.58,10000
2012-01-05,486616,7.19,0.81,54558,2.55,10000
2012-01-06,486616,7.07,0.79,54558,2.59,10000
2012-01-09,486616,6.94,0.78,54558,2.64,10000
2012-01-10,486616,7.01,0.79,54558,2.61,10000
2012-01-11,486616,7.06,0.79,54558,2.6,10000
2012-01-12,486616,7.13,0.8,54558,2.57,10000
2012-01-13,486616,7.21,0.81,54558,2.54,10000
2012-01-16,486616,7.07,0.79,54558,2.59,10000
2012-01-17,486616,7.22,0.81,54558,2.54,10000
2012-01-18,486616,7.26,0.81,54558,2.53,10000
2012-01-19,486616,7.46,0.84,54558,2.46,10000
2012-01-20,486616,7.6,0.85,54558,2.41,10000
2012-01-25,486616,7.73,0.87,54558,2.37,10000
2012-01-26,486616,7.63,0.86,54558,2.4,10000
2012-01-27,486616,7.76,0.87,54558,2.36,10000
2012-01-30,486616,7.63,0.86,54558,2.4,10000
2012-01-31,486616,7.6,0.85,54558,2.41,10000
2012-02-01,486616,7.55,0.85,54558,2.43,10000
2012-02-02,486616,7.67,0.86,54558,2.39,10000
2012-02-03,486616,7.64,0.86,54558,2.4,10000
2012-02-06,486616,7.55,0.85,54558,2.43,10000
2012-02-07,486616,7.48,0.84,54558,2.45,10000
2012-02-08,486616,7.46,0.84,54558,2.46,10000
2012-02-09,486616,7.5,0.84,54558,2.44,10000
2012-02-10,486616,7.62,0.85,54558,2.4,10000
2012-02-13,486616,7.62,0.85,54558,2.4,10000
2012-02-14,486616,7.61,0.85,54558,2.41,10000
2012-02-15,486616,7.62,0.85,54558,2.4,10000
2012-02-16,486616,7.44,0.83,54558,2.46,10000
2012-02-17,486616,7.51,0.84,54558,2.44,10000
2012-02-20,486616,7.57,0.85,54558,2.42,10000
2012-02-21,486616,7.57,0.85,54558,2.42,10000
2012-02-22,486616,7.59,0.85,54558,2.42,10000
2012-02-23,486616,7.57,0.85,54558,2.42,10000
2012-02-24,486616,7.67,0.86,54558,2.39,10000
2012-02-27,486616,7.62,0.85,54558,2.41,10000
2012-02-28,486616,7.59,0.85,54558,2.42,10000
2012-02-29,486616,7.62,0.85,54558,2.4,10000
2012-03-02,486616,7.77,0.87,54558,2.36,10000
2012-03-05,486616,7.73,0.87,54558,2.37,10000
2012-03-06,486616,7.5,0.84,54558,2.44,10000
2012-03-07,486616,7.4,0.83,54558,2.48,10000
2012-03-08,486616,7.36,0.83,54558,2.49,10000
2012-03-09,486616,7.31,0.82,54558,2.51,10000
2012-03-12,486616,7.25,0.81,54558,2.53,10000
2012-03-13,486616,7.28,0.82,54558,2.52,10000
2012-03-14,486616,7.3,0.82,54558,2.51,10000
2012-03-15,486616,7.27,0.81,54558,2.52,10000
2012-03-16,486616,7.24,0.81,54558,2.53,10000
2012-03-19,486616,7.29,0.82,54558,2.52,10000
2012-03-20,486616,7.31,0.82,54558,2.51,10000
2012-03-21,486616,7.15,0.8,54558,2.56,10000
2012-03-22,486616,7.06,0.79,54558,2.6,10000
2012-03-23,486616,7.03,0.79,54558,2.61,10000
2012-03-26,486616,6.99,0.78,54558,2.62,10000
2012-03-27,486616,7.06,0.79,54558,2.6,10000
2012-03-28,486616,7.0,0.79,54558,2.62,10000
2012-03-29,486616,6.92,0.78,54558,2.65,10000
2012-03-30,486616,6.97,0.78,54558,2.63,10000
2012-04-02,486616,7.01,0.79,54558,2.61,10000
2012-04-03,486616,6.97,0.78,54558,2.63,10000
2012-04-04,486616,6.87,0.77,54558,2.67,10000
2012-04-05,486616,6.82,0.76,54558,2.69,10000
2012-04-06,486616,6.83,0.77,54558,2.68,10000
2012-04-09,486616,6.72,0.75,54558,2.73,10000
2012-04-10,486616,6.81,0.76,54558,2.69,10000
2012-04-12,486616,6.9,0.77,54558,2.66,10000
2012-04-13,486616,7.05,0.79,54558,2.6,10000
2012-04-16,486616,6.98,0.78,54558,2.62,10000
2012-04-17,486616,6.98,0.78,54558,2.62,10000
2012-04-18,486616,6.97,0.78,54558,2.63,10000
2012-04-19,486616,6.97,0.78,54558,2.63,10000
2012-04-20,486616,6.94,0.78,54558,2.64,10000
2012-04-23,486616,7.05,0.79,54558,2.6,10000
2012-04-24,439933,8.12,0.87,47224,2.61,10000
2012-04-25,439933,8.14,0.87,47224,2.6,10000
