날짜,BPS,PER,PBR,EPS,DIV,DPS
2012-01-02,89627,12.1,1.74,12891,0.38,600
2012-01-03,89627,12.68,1.82,12891,0.37,600
2012-01-04,89627,12.8,1.84,12891,0.36,600
2012-01-05,89627,12.53,1.8,12891,0.37,600
2012-01-06,89627,12.14,1.75,12891,0.38,600
2012-01-09,89627,12.33,1.77,12891,0.38,600
2012-01-10,89627,12.37,1.78,12891,0.38,600
2012-01-11,89627,12.57,1.81,12891,0.37,600
2012-01-12,89627,13.19,1.9,12891,0.35,600
2012-01-13,89627,12.95,1.86,12891,0.36,600
2012-01-16,89627,12.88,1.85,12891,0.36,600
2012-01-17,89627,13.73,1.97,12891,0.34,600
2012-01-18,89627,13.54,1.95,12891,0.34,600
2012-01-19,89627,13.11,1.89,12891,0.36,600
2012-01-20,89627,13.69,1.97,12891,0.34,600
2012-01-25,89627,14.04,2.02,12891,0.33,600
2012-01-26,89627,13.92,2.0,12891,0.33,600
2012-01-27,89627,14.12,2.03,12891,0.33,600
2012-01-30,89627,13.65,1.96,12891,0.34,600
2012-01-31,89627,14.2,2.04,12891,0.33,600
2012-02-01,89627,13.73,1.97,12891,0.34,600
2012-02-02,89627,13.73,1.97,12891,0.34,600
2012-02-03,89627,13.81,1.99,12891,0.34,600
2012-02-06,89627,14.12,2.03,12891,0.33,600
2012-02-07,89627,14.31,2.06,12891,0.33,600
2012-02-08,89627,14.04,2.02,12891,0.33,600
2012-02-09,89627,13.96,2.01,12891,0.33,600
2012-02-10,89627,13.27,1.91,12891,0.35,600
2012-02-13,89627,13.58,1.95,12891,0.34,600
2012-02-14,89627,13.42,1.93,12891,0.35,600
2012-02-15,89627,13.81,1.99,12891,0.34,600
2012-02-16,89627,13.38,1.92,12891,0.35,600
2012-02-17,89627,13.07,1.88,12891,0.36,600
2012-02-20,89627,13.11,1.89,12891,0.36,600
2012-02-21,89627,13.46,1.94,12891,0.35,600
2012-02-22,89627,13.58,1.95,12891,0.34,600
2012-02-23,89627,13.42,1.93,12891,0.35,600
2012-02-24,89627,13.46,1.94,12891,0.35,600
2012-02-27,89627,13.69,1.97,12891,0.34,600
2012-02-28,89627,13.46,1.94,12891,0.35,600
2012-02-29,89627,12.95,1.86,12891,0.36,600
2012-03-02,89627,12.99,1.87,12891,0.36,600
2012-03-05,89627,13.27,1.91,12891,0.35,600
2012-03-06,89627,13.19,1.9,12891,0.35,600
2012-03-07,89627,13.23,1.9,12891,0.35,600
2012-03-08,89627,13.34,1.92,12891,0.35,600
2012-03-09,89627,13.23,1.9,12891,0.35,600
2012-03-12,89627,13.15,1.89,12891,0.35,600
2012-03-13,89627,13.19,1.9,12891,0.35,600
2012-03-14,89627,13.77,1.98,12891,0.34,600
2012-03-15,89627,13.92,2.0,12891,0.33,600
2012-03-16,89627,13.54,1.95,12891,0.34,600
2012-03-19,89627,13.5,1.94,12891,0.34,600
2012-03-20,89627,13.34,1.92,12891,0.35,600
2012-03-21,89627,13.19,1.9,12891,0.35,600
2012-03-22,89627,13.15,1.89,12891,0.35,600
2012-03-23,89627,12.84,1.85,12891,0.36,600
2012-03-26,89627,13.15,1.89,12891,0.35,600
2012-03-27,89627,13.5,1.94,12891,0.34,600
2012-03-28,89627,13.77,1.98,12891,0.34,600
2012-03-29,89627,13.54,1.95,12891,0.34,600
2012-03-30,89627,13.5,1.94,12891,0.34,600
2012-04-02,89627,13.89,2.0,12891,0.34,600
2012-04-03,89627,13.89,2.0,12891,0.34,600
2012-04-04,89627,13.73,1.97,12891,0.34,600
2012-04-05,89627,13.61,1.96,12891,0.34,600
2012-04-06,89627,14.12,2.03,12891,0.33,600
2012-04-09,89627,13.96,2.01,12891,0.33,600
2012-04-10,89627,13.81,1.99,12891,0.34,600
2012-04-12,89627,13.77,1.98,12891,0.34,600
2012-04-13,89627,14.08,2.03,12891,0.33,600
2012-04-16,89627,13.81,1.99,12891,0.34,600
2012-04-17,89627,13.73,1.97,12891,0.34,600
2012-04-18,89627,13.65,1.96,12891,0.34,600
2012-04-19,89627,13.89,2.0,12891,0.34,600
2012-04-20,89627,13.46,1.94,12891,0.35,600
2012-04-23,89627,13.07,1.88,12891,0.36,600
2012-04-24,104412,10.57,1.54,15183,0.4,650
2012-04-25,104412,10.54,1.53,15183,0.41,650
2012-04-26,104412,10.41,1.51,15183,0.41,650
2012-04-27,104412,10.34,1.5,15183,0.41,650
2012-04-30,104412,10.51,1.53,15183,0.41,650
2012-05-02,104412,10.41,1.51,15183,0.41,650
2012-05-03,104412,10.44,1.52,15183,0.41,650
2012-05-04,104412,10.8,1.57,15183,0.4,650
2012-05-07,104412,10.77,1.57,15183,0.4,650
2012-05-08,104412,10.7,1.56,15183,0.4,650
2012-05-09,104412,10.9,1.59,15183,0.39,650
2012-05-10,104412,10.67,1.55,15183,0.4,650
2012-05-11,104412,10.67,1.55,15183,0.4,650
2012-05-14,104412,10.51,1.53,15183,0.41,650
2012-05-15,104412,10.54,1.53,15183,0.41,650
2012-05-16,104412,10.37,1.51,15183,0.41,650
2012-05-17,104412,10.21,1.48,15183,0.42,650
2012-05-18,104412,9.58,1.39,15183,0.45,650
2012-05-21,104412,9.42,1.37,15183,0.45,650
