날짜,BPS,PER,PBR,EPS,DIV,DPS
2012-01-02,44818,10.96,1.36,5567,2.3,1400
2012-01-03,44818,11.23,1.39,5567,2.24,1400
2012-01-04,44818,11.17,1.39,5567,2.25,1400
2012-01-05,44818,11.07,1.37,5567,2.27,1400
2012-01-06,44818,10.67,1.33,5567,2.36,1400
2012-01-09,44818,10.29,1.28,5567,2.44,1400
2012-01-10,44818,10.36,1.29,5567,2.43,1400
2012-01-11,44818,10.24,1.27,5567,2.46,1400
2012-01-12,44818,10.2,1.27,5567,2.46,1400
2012-01-13,44818,10.56,1.31,5567,2.38,1400
2012-01-16,44818,10.33,1.28,5567,2.43,1400
2012-01-17,44818,10.54,1.31,5567,2.39,1400
2012-01-18,44818,10.44,1.3,5567,2.41,1400
2012-01-19,44818,10.44,1.3,5567,2.41,1400
2012-01-20,44818,10.72,1.33,5567,2.35,1400
2012-01-25,44818,10.9,1.35,5567,2.31,1400
2012-01-26,44818,10.89,1.35,5567,2.31,1400
2012-01-27,44818,10.8,1.34,5567,2.33,1400
2012-01-30,44818,10.87,1.35,5567,2.31,1400
2012-01-31,44818,10.87,1.35,5567,2.31,1400
2012-02-01,44818,11.32,1.41,5567,2.22,1400
2012-02-02,44818,11.26,1.4,5567,2.23,1400
2012-02-03,44818,11.07,1.37,5567,2.27,1400
2012-02-06,44818,11.75,1.46,5567,2.14,1400
2012-02-07,44818,11.5,1.43,5567,2.19,1400
2012-02-08,44818,11.35,1.41,5567,2.22,1400
2012-02-09,44818,11.37,1.41,5567,2.21,1400
2012-02-10,44818,11.23,1.39,5567,2.24,1400
2012-02-13,44818,11.24,1.4,5567,2.24,1400
2012-02-14,44818,10.96,1.36,5567,2.3,1400
2012-02-15,44818,10.92,1.36,5567,2.3,1400
2012-02-16,44818,10.98,1.36,5567,2.29,1400
2012-02-17,44818,10.96,1.36,5567,2.3,1400
2012-02-20,44818,11.12,1.38,5567,2.26,1400
2012-02-21,44818,10.99,1.37,5567,2.29,1400
2012-02-22,44818,10.99,1.37,5567,2.29,1400
2012-02-23,44818,11.08,1.38,5567,2.27,1400
2012-02-24,44818,11.03,1.37,5567,2.28,1400
2012-02-27,44818,10.96,1.36,5567,2.3,1400
2012-02-28,44818,10.65,1.32,5567,2.36,1400
2012-02-29,44818,10.67,1.33,5567,2.36,1400
2012-03-02,44818,10.54,1.31,5567,2.39,1400
2012-03-05,44818,10.04,1.25,5567,2.5,1400
2012-03-06,44818,10.04,1.25,5567,2.5,1400
2012-03-07,44818,9.88,1.23,5567,2.55,1400
2012-03-08,44818,9.86,1.22,5567,2.55,1400
2012-03-09,44818,9.97,1.24,5567,2.52,1400
2012-03-12,44818,9.95,1.24,5567,2.53,1400
2012-03-13,44818,10.06,1.25,5567,2.5,1400
2012-03-14,44818,10.13,1.26,5567,2.48,1400
2012-03-15,44818,10.02,1.25,5567,2.51,1400
2012-03-16,44818,10.13,1.26,5567,2.48,1400
2012-03-19,44818,10.22,1.27,5567,2.46,1400
2012-03-20,44818,10.22,1.27,5567,2.46,1400
2012-03-21,44818,10.19,1.27,5567,2.47,1400
2012-03-22,44818,10.17,1.26,5567,2.47,1400
2012-03-23,44818,10.1,1.25,5567,2.49,1400
2012-03-26,44818,10.27,1.28,5567,2.45,1400
2012-03-27,44818,10.2,1.27,5567,2.46,1400
2012-03-28,44818,10.31,1.28,5567,2.44,1400
2012-03-29,44818,10.27,1.28,5567,2.45,1400
2012-03-30,44818,10.17,1.26,5567,2.47,1400
2012-04-02,44818,10.33,1.28,5567,2.43,1400
2012-04-03,44818,10.17,1.26,5567,2.47,1400
2012-04-04,44818,10.22,1.27,5567,2.46,1400
2012-04-05,44818,10.22,1.27,5567,2.46,1400
2012-04-06,44818,10.35,1.29,5567,2.43,1400
2012-04-09,44818,10.4,1.29,5567,2.42,1400
2012-04-10,44818,10.72,1.33,5567,2.35,1400
2012-04-12,44818,11.03,1.37,5567,2.28,1400
2012-04-13,44818,11.28,1.4,5567,2.23,1400
2012-04-16,44818,11.1,1.38,5567,2.27,1400
2012-04-17,44818,11.19,1.39,5567,2.25,1400
2012-04-18,44818,11.26,1.4,5567,2.23,1400
2012-04-19,44818,11.21,1.39,5567,2.24,1400
2012-04-20,44818,11.48,1.43,5567,2.19,1400
2012-04-23,44818,11.57,1.44,5567,2.17,1400
2012-04-24,40004,13.63,1.62,4753,1.85,1200
2012-04-25,40004,13.47,1.6,4753,1.88,1200
2012-04-26,40004,13.74,1.63,4753,1.84,1200
2012-04-27,40004,13.68,1.62,4753,1.85,1200
2012-04-30,40004,13.7,1.63,4753,1.84,1200
2012-05-02,40004,13.78,1.64,4753,1.83,1200
2012-05-03,40004,14.1,1.67,4753,1.79,1200
2012-05-04,40004,14.2,1.69,4753,1.78,1200
2012-05-07,40004,14.18,1.68,4753,1.78,1200
2012-05-08,40004,14.22,1.69,4753,1.78,1200
2012-05-09,40004,14.9,1.77,4753,1.69,1200
2012-05-10,40004,14.85,1.76,4753,1.7,1200
2012-05-11,40004,13.78,1.64,4753,1.83,1200
2012-05-14,40004,13.11,1.56,4753,1.93,1200
2012-05-15,40004,14.1,1.67,4753,1.79,1200
2012-05-16,40004,13.44,1.6,4753,1.88,1200
2012-05-17,40004,13.34,1.58,4753,1.89,1200
2012-05-18,40004,12.71,1.51,4753,1.99,1200
2012-05-21,40004,13.0,1.54,4753,1.94,1200
2012-05-22,40004,13.78,1.64,4753,1.83,1200
2012-05-23,40004,13.44,1.6,4753,1.88,1200
2012-05-24,40004,13.47,1.6,4753,1.88,1200
2012-05-25,40004,13.61,1.62,4753,1.85,1200
2012-05-29,40004,13.76,1.63,4753,1.83,1200
2012-05-30,40004,13.86,1.65,4753,1.82,1200
2012-05-31,40004,14.05,1.67,4753,1.8,1200
2012-06-01,40004,13.99,1.66,4753,1.8,1200
2012-06-04,40004,14.73,1.75,4753,1.71,1200
2012-06-05,40004,15.36,1.82,4753,1.64,1200
2012-06-07,40004,15.51,1.84,4753,1.63,1200
2012-06-08,40004,15.19,1.8,4753,1.66,1200
2012-06-11,40004,14.75,1.75,4753,1.71,1200
2012-06-12,40004,14.73,1.75,4753,1.71,1200
2012-06-13,40004,14.56,1.73,4753,1.73,1200
2012-06-14,40004,15.36,1.82,4753,1.64,1200
2012-06-15,40004,15.7,1.86,4753,1.61,1200
2012-06-18,40004,15.76,1.87,4753,1.6,1200
2012-06-19,40004,15.63,1.86,4753,1.62,1200
2012-06-20,40004,15.78,1.87,4753,1.6,1200
2012-06-21,40004,16.18,1.92,4753,1.56,1200
2012-06-22,40004,15.46,1.84,4753,1.63,1200
2012-06-25,40004,15.53,1.84,4753,1.63,1200
2012-06-26,40004,15.48,1.84,4753,1.63,1200
2012-06-27,40004,15.21,1.81,4753,1.66,1200
2012-06-28,40004,14.92,1.77,4753,1.69,1200
2012-06-29,40004,15.15,1.8,4753,1.67,1200
2012-07-02,40004,15.57,1.85,4753,1.62,1200
2012-07-03,40004,15.76,1.87,4753,1.6,1200
2012-07-04,40004,15.61,1.85,4753,1.62,1200
2012-07-05,40004,15.78,1.87,4753,1.6,1200
2012-07-06,40004,15.59,1.85,4753,1.62,1200
2012-07-09,40004,15.95,1.89,4753,1.58,1200
2012-07-10,40004,15.82,1.88,4753,1.6,1200
2012-07-11,40004,16.49,1.96,4753,1.53,1200
