날짜,BPS,PER,PBR,EPS,DIV,DPS
2012-01-02,90205,6.49,0.59,8156,2.36,1250
2012-01-03,90205,6.56,0.59,8156,2.34,1250
2012-01-04,90205,6.55,0.59,8156,2.34,1250
2012-01-05,90205,6.55,0.59,8156,2.34,1250
2012-01-06,90205,6.47,0.59,8156,2.37,1250
2012-01-09,90205,6.5,0.59,8156,2.36,1250
2012-01-10,90205,6.65,0.6,8156,2.31,1250
2012-01-11,90205,6.71,0.61,8156,2.29,1250
2012-01-12,90205,6.93,0.63,8156,2.21,1250
2012-01-13,90205,7.01,0.63,8156,2.19,1250
2012-01-16,90205,6.93,0.63,8156,2.21,1250
2012-01-17,90205,6.99,0.63,8156,2.19,1250
2012-01-18,90205,7.11,0.64,8156,2.16,1250
2012-01-19,90205,7.21,0.65,8156,2.13,1250
2012-01-20,90205,7.38,0.67,8156,2.08,1250
2012-01-25,90205,7.34,0.66,8156,2.09,1250
2012-01-26,90205,7.41,0.67,8156,2.07,1250
2012-01-27,90205,7.52,0.68,8156,2.04,1250
2012-01-30,90205,7.5,0.68,8156,2.04,1250
2012-01-31,90205,7.68,0.69,8156,2.0,1250
2012-02-01,90205,7.92,0.72,8156,1.93,1250
2012-02-02,90205,7.93,0.72,8156,1.93,1250
2012-02-03,90205,8.08,0.73,8156,1.9,1250
2012-02-06,90205,8.14,0.74,8156,1.88,1250
2012-02-07,90205,7.96,0.72,8156,1.93,1250
2012-02-08,90205,7.99,0.72,8156,1.92,1250
2012-02-09,90205,8.41,0.76,8156,1.82,1250
2012-02-10,90205,8.26,0.75,8156,1.85,1250
2012-02-13,90205,8.4,0.76,8156,1.82,1250
2012-02-14,90205,8.48,0.77,8156,1.81,1250
2012-02-15,90205,8.53,0.77,8156,1.8,1250
2012-02-16,90205,8.13,0.73,8156,1.89,1250
2012-02-17,90205,8.36,0.76,8156,1.83,1250
2012-02-20,90205,8.46,0.76,8156,1.81,1250
2012-02-21,90205,8.45,0.76,8156,1.81,1250
2012-02-22,90205,8.5,0.77,8156,1.8,1250
2012-02-23,90205,8.36,0.76,8156,1.83,1250
2012-02-24,90205,8.35,0.75,8156,1.84,1250
2012-02-27,90205,8.12,0.73,8156,1.89,1250
2012-02-28,90205,8.1,0.73,8156,1.89,1250
2012-02-29,90205,8.15,0.74,8156,1.88,1250
2012-03-02,90205,8.25,0.75,8156,1.86,1250
2012-03-05,90205,8.12,0.73,8156,1.89,1250
2012-03-06,90205,7.93,0.72,8156,1.93,1250
2012-03-07,90205,7.82,0.71,8156,1.96,1250
2012-03-08,90205,7.96,0.72,8156,1.93,1250
2012-03-09,90205,7.93,0.72,8156,1.93,1250
2012-03-12,90205,7.98,0.72,8156,1.92,1250
2012-03-13,90205,8.06,0.73,8156,1.9,1250
2012-03-14,90205,8.12,0.73,8156,1.89,1250
2012-03-15,90205,8.08,0.73,8156,1.9,1250
2012-03-16,90205,8.01,0.72,8156,1.91,1250
2012-03-19,90205,7.99,0.72,8156,1.92,1250
2012-03-20,90205,7.72,0.7,8156,1.98,1250
2012-03-21,90205,7.81,0.71,8156,1.96,1250
2012-03-22,90205,7.75,0.7,8156,1.98,1250
2012-03-23,90205,7.75,0.7,8156,1.98,1250
2012-03-26,90205,7.61,0.69,8156,2.01,1250
2012-03-27,90205,7.58,0.69,8156,2.02,1250
2012-03-28,90205,7.55,0.68,8156,2.03,1250
2012-03-29,90205,7.39,0.67,8156,2.07,1250
2012-03-30,90205,7.36,0.67,8156,2.08,1250
2012-04-02,90205,7.31,0.66,8156,2.1,1250
2012-04-03,90205,7.31,0.66,8156,2.1,1250
2012-04-04,90205,7.11,0.64,8156,2.16,1250
2012-04-05,90205,7.07,0.64,8156,2.17,1250
2012-04-06,90205,7.05,0.64,8156,2.17,1250
2012-04-09,90205,7.06,0.64,8156,2.17,1250
2012-04-10,90205,7.14,0.65,8156,2.15,1250
2012-04-12,90205,7.23,0.65,8156,2.12,1250
2012-04-13,90205,7.47,0.68,8156,2.05,1250
2012-04-16,90205,7.39,0.67,8156,2.07,1250
2012-04-17,90205,7.39,0.67,8156,2.07,1250
2012-04-18,90205,7.44,0.67,8156,2.06,1250
2012-04-19,90205,7.41,0.67,8156,2.07,1250
2012-04-20,90205,7.37,0.67,8156,2.08,1250
2012-04-23,90205,7.37,0.67,8156,2.08,1250
2012-04-24,81693,0.0,0.73,0,1.67,1000
2012-04-25,81693,0.0,0.73,0,1.68,1000
2012-04-26,81693,0.0,0.72,0,1.7,1000
2012-04-27,81693,0.0,0.71,0,1.72,1000
2012-04-30,81693,0.0,0.71,0,1.73,1000
2012-05-02,81693,0.0,0.73,0,1.68,1000
2012-05-03,81693,0.0,0.74,0,1.65,1000
2012-05-04,81693,0.0,0.76,0,1.61,1000
2012-05-07,81693,0.0,0.74,0,1.65,1000
2012-05-08,81693,0.0,0.75,0,1.63,1000
2012-05-09,81693,0.0,0.75,0,1.63,1000
2012-05-10,81693,0.0,0.76,0,1.62,1000
2012-05-11,81693,0.0,0.73,0,1.67,1000
2012-05-14,81693,0.0,0.72,0,1.71,1000
2012-05-15,81693,0.0,0.68,0,1.8,1000
2012-05-16,81693,0.0,0.67,0,1.83,1000
2012-05-17,81693,0.0,0.67,0,1.82,1000
2012-05-18,81693,0.0,0.63,0,1.94,1000
2012-05-21,81693,0.0,0.63,0,1.94,1000
2012-05-22,81693,0.0,0.65,0,1.88,1000
2012-05-23,81693,0.0,0.64,0,1.9,1000
2012-05-24,81693,0.0,0.64,0,1.9,1000
2012-05-25,81693,0.0,0.64,0,1.9,1000
2012-05-29,81693,0.0,0.66,0,1.85,1000
2012-05-30,81693,0.0,0.66,0,1.86,1000
2012-05-31,81693,0.0,0.65,0,1.89,1000
2012-06-01,81693,0.0,0.64,0,1.9,1000
2012-06-04,81693,0.0,0.61,0,2.01,1000
2012-06-05,81693,0.0,0.61,0,1.99,1000
2012-06-07,81693,0.0,0.65,0,1.89,1000
2012-06-08,81693,0.0,0.63,0,1.95,1000
2012-06-11,81693,0.0,0.66,0,1.85,1000
2012-06-12,81693,0.0,0.65,0,1.88,1000
2012-06-13,81693,0.0,0.66,0,1.86,1000
2012-06-14,81693,0.0,0.66,0,1.85,1000
2012-06-15,81693,0.0,0.66,0,1.85,1000
2012-06-18,81693,0.0,0.67,0,1.82,1000
2012-06-19,81693,0.0,0.66,0,1.85,1000
2012-06-20,81693,0.0,0.68,0,1.79,1000
2012-06-21,81693,0.0,0.69,0,1.79,1000
2012-06-22,81693,0.0,0.67,0,1.82,1000
2012-06-25,81693,0.0,0.67,0,1.83,1000
2012-06-26,81693,0.0,0.65,0,1.88,1000
2012-06-27,81693,0.0,0.65,0,1.89,1000
2012-06-28,81693,0.0,0.65,0,1.89,1000
2012-06-29,81693,0.0,0.67,0,1.83,1000
2012-07-02,81693,0.0,0.67,0,1.82,1000
2012-07-03,81693,0.0,0.7,0,1.76,1000
2012-07-04,81693,0.0,0.7,0,1.76,1000
2012-07-05,81693,0.0,0.69,0,1.77,1000
2012-07-06,81693,0.0,0.68,0,1.81,1000
2012-07-09,81693,0.0,0.66,0,1.86,1000
2012-07-10,81693,0.0,0.65,0,1.88,1000
2012-07-11,81693,0.0,0.65,0,1.89,1000
2012-07-12,81693,0.0,0.63,0,1.95,1000
2012-07-13,81693,0.0,0.63,0,1.93,1000
2012-07-16,81693,0.0,0.63,0,1.95,1000
2012-07-17,81693,0.0,0.63,0,1.95,1000
2012-07-18,81693,0.0,0.61,0,2.0,1000
2012-07-19,81693,0.0,0.61,0,2.0,1000
2012-07-20,81693,0.0,0.61,0,1.99,1000
2012-07-23,81693,0.0,0.59,0,2.08,1000
2012-07-24,81693,0.0,0.56,0,2.18,1000
2012-07-25,81693,0.0,0.56,0,2.19,1000
2012-07-26,81693,0.0,0.6,0,2.03,1000
2012-07-27,81693,0.0,0.63,0,1.95,1000
2012-07-30,81693,0.0,0.63,0,1.94,1000
2012-07-31,81693,0.0,0.66,0,1.86,1000
2012-08-01,81693,0.0,0.67,0,1.84,1000
2012-08-02,81693,0.0,0.66,0,1.84,1000
2012-08-03,81693,0.0,0.67,0,1.83,1000
2012-08-06,81693,0.0,0.69,0,1.78,1000
2012-08-07,81693,0.0,0.7,0,1.76,1000
2012-08-08,81693,0.0,0.69,0,1.77,1000
2012-08-09,81693,0.0,0.71,0,1.73,1000
2012-08-10,81693,0.0,0.72,0,1.71,1000
2012-08-13,81693,0.0,0.71,0,1.72,1000
2012-08-14,81693,0.0,0.72,0,1.69,1000
2012-08-16,81693,0.0,0.75,0,1.64,1000
2012-08-17,81693,0.0,0.75,0,1.64,1000
2012-08-20,81693,0.0,0.75,0,1.63,1000
2012-08-21,81693,0.0,0.74,0,1.64,1000
2012-08-22,81693,0.0,0.74,0,1.65,1000
2012-08-23,81693,0.0,0.74,0,1.66,1000
2012-08-24,81693,0.0,0.72,0,1.71,1000
2012-08-27,81693,0.0,0.74,0,1.66,1000
2012-08-28,81693,0.0,0.73,0,1.67,1000
2012-08-29,81693,0.0,0.75,0,1.63,1000
2012-08-30,81693,0.0,0.74,0,1.66,1000
2012-08-31,81693,0.0,0.74,0,1.65,1000
2012-09-03,81693,0.0,0.75,0,1.63,1000
2012-09-04,81693,0.0,0.75,0,1.63,1000
2012-09-05,81693,0.0,0.74,0,1.66,1000
2012-09-06,81693,0.0,0.74,0,1.65,1000
2012-09-07,81693,0.0,0.77,0,1.58,1000
2012-09-10,81693,0.0,0.76,0,1.6,1000
2012-09-11,81693,0.0,0.76,0,1.62,1000
2012-09-12,81693,0.0,0.76,0,1.61,1000
2012-09-13,81693,0.0,0.76,0,1.61,1000
2012-09-14,81693,0.0,0.79,0,1.55,1000
2012-09-17,81693,0.0,0.8,0,1.54,1000
2012-09-18,81693,0.0,0.79,0,1.55,1000
