날짜,BPS,PER,PBR,EPS,DIV,DPS
2012-01-02,28343,7.64,1.53,5658,0.69,300
2012-01-03,28343,8.11,1.62,5658,0.65,300
2012-01-04,28343,8.18,1.63,5658,0.65,300
2012-01-05,28343,8.15,1.63,5658,0.65,300
2012-01-06,28343,8.09,1.62,5658,0.66,300
2012-01-09,28343,7.82,1.56,5658,0.68,300
2012-01-10,28343,7.94,1.58,5658,0.67,300
2012-01-11,28343,7.62,1.52,5658,0.7,300
2012-01-12,28343,7.71,1.54,5658,0.69,300
2012-01-13,28343,7.86,1.57,5658,0.67,300
2012-01-16,28343,7.59,1.52,5658,0.7,300
2012-01-17,28343,7.61,1.52,5658,0.7,300
2012-01-18,28343,7.63,1.52,5658,0.7,300
2012-01-19,28343,7.96,1.59,5658,0.67,300
2012-01-20,28343,8.09,1.62,5658,0.66,300
2012-01-25,28343,8.13,1.62,5658,0.65,300
2012-01-26,28343,8.17,1.63,5658,0.65,300
2012-01-27,28343,7.97,1.59,5658,0.67,300
2012-01-30,28343,7.95,1.59,5658,0.67,300
2012-01-31,28343,8.02,1.6,5658,0.66,300
2012-02-01,28343,7.9,1.58,5658,0.67,300
2012-02-02,28343,8.16,1.63,5658,0.65,300
2012-02-03,28343,8.01,1.6,5658,0.66,300
2012-02-06,28343,8.2,1.64,5658,0.65,300
2012-02-07,28343,8.22,1.64,5658,0.65,300
2012-02-08,28343,8.42,1.68,5658,0.63,300
2012-02-09,28343,8.32,1.66,5658,0.64,300
2012-02-10,28343,8.39,1.67,5658,0.63,300
2012-02-13,28343,8.4,1.68,5658,0.63,300
2012-02-14,28343,8.35,1.67,5658,0.63,300
2012-02-15,28343,8.47,1.69,5658,0.63,300
2012-02-16,28343,8.5,1.7,5658,0.62,300
2012-02-17,28343,8.44,1.68,5658,0.63,300
2012-02-20,28343,8.52,1.7,5658,0.62,300
2012-02-21,28343,8.48,1.69,5658,0.63,300
2012-02-22,28343,8.54,1.7,5658,0.62,300
2012-02-23,28343,8.55,1.71,5658,0.62,300
2012-02-24,28343,8.4,1.68,5658,0.63,300
2012-02-27,28343,8.47,1.69,5658,0.63,300
